Date,Day,Venue,Team,Opponent,Name,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,T_att,T_succ,Season,WDL,Team_score,Opp_score,Team_CS,Was_home,GW,Clean_name,FPL_name,FPL_team,FPL_opp_team,Name_original,FPL_pos,FPL_ast,Bonus,Bps,Player_CS,Creativity,Element,Fixture,Player_GC,Goals_scored,ICT_index,Influence,Kickoff_time,FPL_min,Own_goals,Penalties_missed,Penalties_saved,Saves,Selected,Threat,FPL_points,Transfers_balance,Transfers_in,Transfers_out,Value,FPL_GW,xP,FPL_xA,FPL_xGI,FPL_xG,FPL_xGC,Opp_rating,Team_rating,Min_points,clean_name,citizenship,main_position,is_ramadan,days_into_ramadan
2021-11-21,Sun,Away,Everton,Manchester City,Alex-Iwobi,N,"LM,RM",74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,16.0,26.0,61.5,1.0,24.0,2.0,5.0,3.0,2021-22,L,0,3,0.0,0.0,12,Alex-Iwobi,Alex-Iwobi,Everton,Man City,Alex Iwobi,MID,0.0,0.0,11.0,0.0,9.2,174.0,115.0,3.0,0.0,2.6,10.8,2021-11-21T14:00:00Z,73.0,0.0,0.0,0.0,0.0,14768.0,6.0,2.0,-326.0,413.0,739.0,5.8,12.0,,,,,,2003.76257324,1753.05944824,True,Alex Iwobi,Nigeria  England,Attack,False,0
2021-11-28,Sun,Away,Everton,Brentford,Alex-Iwobi,Y,"FW,RM",90.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,48.0,1.0,1.0,0.0,0.2,0.2,0.0,0.0,0.0,31.0,38.0,81.6,6.0,32.0,2.0,4.0,2.0,2021-22,L,0,1,0.0,0.0,13,Alex-Iwobi,Alex-Iwobi,Everton,Brentford,Alex Iwobi,MID,0.0,0.0,10.0,0.0,7.5,174.0,122.0,1.0,0.0,5.9,13.0,2021-11-28T14:00:00Z,90.0,0.0,0.0,0.0,0.0,15414.0,38.0,2.0,328.0,834.0,506.0,5.8,13.0,,,,,,1686.97009277,1753.78125,True,Alex Iwobi,Nigeria  England,Attack,False,0
2021-12-01,Wed,Home,Everton,Liverpool,Alex-Iwobi,N,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-22,L,1,4,0.0,1.0,14,Alex-Iwobi,Alex-Iwobi,Everton,Liverpool,Alex Iwobi,MID,0.0,0.0,0.0,0.0,0.0,174.0,132.0,0.0,0.0,0.0,0.0,2021-12-01T20:15:00Z,0.0,0.0,0.0,0.0,0.0,15419.0,0.0,0.0,-115.0,344.0,459.0,5.8,14.0,,,,,,2003.7322998,1744.8894043,False,Alex Iwobi,Nigeria  England,Attack,False,0
2021-12-06,Mon,Home,Everton,Arsenal,Alex-Iwobi,N,RM,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,2.0,2.0,100.0,0.0,3.0,0.0,0.0,0.0,2021-22,W,2,1,0.0,1.0,15,Alex-Iwobi,Alex-Iwobi,Everton,Arsenal,Alex Iwobi,MID,0.0,0.0,0.0,0.0,0.3,174.0,142.0,0.0,0.0,2.1,3.2,2021-12-06T20:00:00Z,3.0,0.0,0.0,0.0,0.0,15099.0,17.0,1.0,-435.0,244.0,679.0,5.8,15.0,,,,,,1855.03051758,1739.62084961,True,Alex Iwobi,Nigeria  England,Attack,False,0
2021-12-12,Sun,Away,Everton,Crystal Palace,Alex-Iwobi,N,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-22,L,1,3,0.0,0.0,16,Alex-Iwobi,Alex-Iwobi,Everton,Crystal Palace,Alex Iwobi,MID,0.0,0.0,0.0,0.0,0.0,174.0,156.0,0.0,0.0,0.0,0.0,2021-12-12T16:30:00Z,0.0,0.0,0.0,0.0,0.0,15134.0,0.0,0.0,-179.0,353.0,532.0,5.8,16.0,,,,,,1715.2421875,1737.45129395,False,Alex Iwobi,Nigeria  England,Attack,False,0
2021-12-16,Thu,Away,Everton,Chelsea,Alex-Iwobi,Y,RM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,14.0,71.4,2.0,9.0,0.0,2.0,1.0,2021-22,D,1,1,0.0,0.0,17,Alex-Iwobi,Alex-Iwobi,Everton,Chelsea,Alex Iwobi,MID,0.0,0.0,5.0,0.0,1.5,174.0,168.0,1.0,0.0,1.1,7.6,2021-12-16T19:45:00Z,90.0,0.0,0.0,0.0,0.0,14875.0,2.0,2.0,-349.0,130.0,479.0,5.8,17.0,,,,,,1943.04394531,1726.58972168,True,Alex Iwobi,Nigeria  England,Attack,False,0
2022-01-02,Sun,Home,Everton,Brighton,Alex-Iwobi,N,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-22,L,2,3,0.0,1.0,21,Alex-Iwobi,Alex-Iwobi,Everton,Brighton,Alex Iwobi,MID,0.0,0.0,0.0,0.0,0.0,174.0,205.0,0.0,0.0,0.0,0.0,2022-01-02T14:00:00Z,0.0,0.0,0.0,0.0,0.0,17715.0,0.0,0.0,1039.0,1641.0,602.0,5.8,21.0,,,,,,1731.41931152,1732.85766602,False,Alex Iwobi,Nigeria  England,Attack,False,0
2022-02-08,Tue,Away,Everton,Newcastle Utd,Alex-Iwobi,N,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-22,L,1,3,0.0,0.0,24,Alex-Iwobi,Alex-Iwobi,Everton,Newcastle,Alex Iwobi,MID,0.0,0.0,0.0,0.0,0.0,174.0,239.0,0.0,0.0,0.0,0.0,2022-02-08T19:45:00Z,0.0,0.0,0.0,0.0,0.0,14350.0,0.0,0.0,-126.0,146.0,272.0,5.8,24.0,,,,,,1675.55664062,1704.65686035,False,Alex Iwobi,Nigeria  England,Attack,False,0
2022-02-12,Sat,Home,Everton,Leeds United,Alex-Iwobi,Y,"RM,RW",90.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,60.0,3.0,1.0,5.0,0.5,0.5,0.2,6.0,0.0,29.0,34.0,85.3,5.0,31.0,2.0,5.0,1.0,2021-22,W,3,0,1.0,1.0,25,Alex-Iwobi,Alex-Iwobi,Everton,Leeds,Alex Iwobi,MID,0.0,0.0,17.0,1.0,53.3,174.0,244.0,0.0,0.0,12.4,21.6,2022-02-12T15:00:00Z,90.0,0.0,0.0,0.0,0.0,14305.0,49.0,2.0,-81.0,105.0,186.0,5.8,25.0,,,,,,1736.51342773,1693.57397461,True,Alex Iwobi,Nigeria  England,Attack,False,0
2022-02-19,Sat,Away,Everton,Southampton,Alex-Iwobi,Y,RM,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,23.0,60.9,3.0,21.0,1.0,1.0,1.0,2021-22,L,0,2,0.0,0.0,26,Alex-Iwobi,Alex-Iwobi,Everton,Southampton,Alex Iwobi,MID,0.0,0.0,7.0,0.0,12.8,174.0,258.0,1.0,0.0,2.1,5.8,2022-02-19T15:00:00Z,64.0,0.0,0.0,0.0,0.0,14573.0,2.0,2.0,168.0,382.0,214.0,5.8,26.0,,,,,,1735.73950195,1710.87658691,True,Alex Iwobi,Nigeria  England,Attack,False,0
