player_id,player_name,citizenship,position,main_position
447036,Franck Tayou (447036),United States  Cameroon,Attack - Centre-Forward,Attack
44707,Amaechi Igwe (44707),United States  Nigeria,Defender - Left-Back,Defender
44724,Abdelmalek Mokdad (44724),Algeria  France,Midfield - Attacking Midfield,Midfield
447221,Hamza Mendyl (447221),Morocco  Cote d'Ivoire,Defender - Left-Back,Defender
447462,Gedeon Guzina (447462),Bosnia-Herzegovina  Serbia,Attack - Centre-Forward,Attack
447475,Ruslan Baytukov (447475),Russia  Kazakhstan,Defender - Centre-Back,Defender
4477,Karim Touzani (4477),Netherlands  Morocco,Midfield - Defensive Midfield,Midfield
447753,Serhat Imsak (447753),Germany  Türkiye,Attack - Centre-Forward,Attack
447802,Mert Kuyucu (447802),Türkiye  Germany,Defender - Left-Back,Defender
44787,Nacer Barazite (44787),Netherlands  Morocco,Midfield - Attacking Midfield,Midfield
448177,Jessic Ngankam (448177),Germany  Cameroon,Attack - Centre-Forward,Attack
448169,Amir Saipi (448169),Kosovo  Switzerland,Goalkeeper,Goalkeeper
448257,Ogechika Heil (448257),Germany  Nigeria,Midfield - Attacking Midfield,Midfield
448266,Bilal Hussein (448266),Sweden  Somalia,Midfield - Central Midfield,Midfield
448263,Dominic Vinicius (448263),Brazil  Nigeria,Attack - Centre-Forward,Attack
448337,Ramy Najjarine (448337),Lebanon  Australia,Attack - Left Winger,Attack
448400,Gabriele Kernezo (448400),Italy  Albania,Attack - Left Winger,Attack
448468,Jefferson Encada (448468),Guinea-Bissau  Portugal,Defender - Right-Back,Defender
448538,Moutir Chajia (448538),Belgium  Morocco,Midfield - Attacking Midfield,Midfield
448632,Yehvann Diouf (448632),Senegal  France,Goalkeeper,Goalkeeper
448705,Diant Ramaj (448705),Germany  Kosovo,Goalkeeper,Goalkeeper
448854,Emmanuel Dennis (448854),Nigeria,Attack - Centre-Forward,Attack
4489,Khalid Boulahrouz (4489),Netherlands  Morocco,Defender - Centre-Back,Defender
448920,Enea Mihaj (448920),Albania  Greece,Defender - Centre-Back,Defender
44896,Erhan Kavak (44896),Switzerland  Türkiye,Midfield - Left Midfield,Midfield
449093,João Marna (449093),Guinea-Bissau  Portugal,Attack - Centre-Forward,Attack
449241,Badr El Ouazni (449241),Morocco  Italy,Attack - Centre-Forward,Attack
449586,Carlos (449586),Senegal  Italy,Attack - Centre-Forward,Attack
449597,Isaac Schmidt (449597),Switzerland  Nigeria,Defender - Right-Back,Defender
44969,Fırat Akkoyun (44969),Türkiye,Defender - Centre-Back,Defender
44964,Patrick Noubissie (44964),France  Cameroon,Midfield - Central Midfield,Midfield
449695,Mustapha Itua (449695),Nigeria,Defender,Defender
44970,Ahmet Aras (44970),Türkiye,Attack - Centre-Forward,Attack
44972,Mahmut Bezgin (44972),Türkiye,Goalkeeper,Goalkeeper
44971,Hüseyin Bak (44971),Türkiye,Midfield - Defensive Midfield,Midfield
44973,Gökhan Çakır (44973),Türkiye,Midfield - Defensive Midfield,Midfield
44977,Uğur Demirok (44977),Türkiye,Defender - Centre-Back,Defender
44979,Mehmet Eren Boyraz (44979),Türkiye,Attack - Right Winger,Attack
449810,Yasin Hamed (449810),Sudan  Romania,Attack - Right Winger,Attack
44981,Egemen Gençalp (44981),Türkiye,Goalkeeper,Goalkeeper
44982,Ersan Gülüm (44982),Türkiye  Australia,Defender - Centre-Back,Defender
449835,Ebrahim Farahnak (449835),Germany  Iran,Defender - Centre-Back,Defender
44984,Aydın Kuzu (44984),Türkiye,Attack - Right Winger,Attack
449844,Mohamed Ezzarfani (449844),Morocco,Attack - Left Winger,Attack
44988,Tuncay Süren (44988),Türkiye,Attack - Right Winger,Attack
44987,Maksud Önal (44987),Türkiye,Defender - Centre-Back,Defender
44989,Orhan Taşdelen (44989),Türkiye,Defender - Left-Back,Defender
44990,Ali Türkan (44990),Türkiye,Goalkeeper,Goalkeeper
449909,Jean Didier Manga (449909),Cameroon,Goalkeeper,Goalkeeper
44994,Aytaç Ak (44994),Türkiye,Defender - Centre-Back,Defender
44993,Anıl Taşdemir (44993),Türkiye,Midfield - Attacking Midfield,Midfield
45,Alassane Ouédraogo (45),Burkina Faso  Germany,Midfield - Right Midfield,Midfield
44998,Cenk Cengiz (44998),Türkiye,Midfield - Attacking Midfield,Midfield
44997,Ediz Bahtiyaroğlu (44997),Türkiye  Bosnia-Herzegovina,Defender - Centre-Back,Defender
45005,Serkan Kurtuluş (45005),Türkiye,Defender - Right-Back,Defender
45009,Yenal Tuncer (45009),Türkiye,Defender - Left-Back,Defender
45012,Seyhan Cenk Tekelioğlu (45012),Türkiye,Goalkeeper,Goalkeeper
45014,Fatih Şen (45014),Türkiye,Midfield - Central Midfield,Midfield
450195,Amar Catic (450195),Bosnia-Herzegovina  Netherlands,Attack - Right Winger,Attack
450196,Ugochukwu Oduenyi (450196),Nigeria,Attack - Right Winger,Attack
450227,Arda Temur (450227),Türkiye  Germany,Midfield - Central Midfield,Midfield
450385,Musap Palta (450385),Türkiye,Midfield,Midfield
450390,Moussa Diallo (450390),France  Senegal,Defender - Right-Back,Defender
450417,Dylan Bronn (450417),Tunisia  France,Defender - Centre-Back,Defender
450462,Maudo Jarjué (450462),The Gambia  Guinea-Bissau,Defender - Centre-Back,Defender
45063,Yahia Kébé (45063),Burkina Faso,Attack - Centre-Forward,Attack
45087,Mamadi Kaba (45087),Guinea,Defender - Centre-Back,Defender
